skill_slug,skill_ref_examples,expert_count,expert_ids,downloaded_count,local_paths,by_skill_link
content-factory,./skills/content-factory,1,VisualStorytellingExpert,1,sources/workbuddy-experts/plugins/visual-storytelling-expert/skills/content-factory,catalog/workbuddy_expert_catalog/skills/by-skill/content-factory
content-monetization-ops,./skills/content-monetization-ops,1,ContentMonetizationTeam,1,sources/workbuddy-experts/plugins/content-monetization-team/skills/content-monetization-ops,catalog/workbuddy_expert_catalog/skills/by-skill/content-monetization-ops
content-strategy,./skills/content-strategy,1,SmbRevenue,1,sources/workbuddy-experts/plugins/smb-revenue/skills/content-strategy,catalog/workbuddy_expert_catalog/skills/by-skill/content-strategy
content-writing,./skills/content-writing,1,SeoContentTeam,1,sources/workbuddy-experts/plugins/seo-content-team/skills/content-writing,catalog/workbuddy_expert_catalog/skills/by-skill/content-writing
contract-drafting-engine,./skills/contract-drafting-engine,1,ContractExpert,1,sources/workbuddy-experts/plugins/contract-expert/skills/contract-drafting-engine,catalog/workbuddy_expert_catalog/skills/by-skill/contract-drafting-engine
contract-intake,./skills/contract-intake,1,ContractExpert,1,sources/workbuddy-experts/plugins/contract-expert/skills/contract-intake,catalog/workbuddy_expert_catalog/skills/by-skill/contract-intake
contract-legal-research,./skills/contract-legal-research,1,ContractExpert,1,sources/workbuddy-experts/plugins/contract-expert/skills/contract-legal-research,catalog/workbuddy_expert_catalog/skills/by-skill/contract-legal-research
contract-lifecycle-advisor,./skills/contract-lifecycle-advisor,1,ContractExpert,1,sources/workbuddy-experts/plugins/contract-expert/skills/contract-lifecycle-advisor,catalog/workbuddy_expert_catalog/skills/by-skill/contract-lifecycle-advisor
contract-output-formatter,./skills/contract-output-formatter,1,ContractExpert,1,sources/workbuddy-experts/plugins/contract-expert/skills/contract-output-formatter,catalog/workbuddy_expert_catalog/skills/by-skill/contract-output-formatter
contract-review-engine,./skills/contract-review-engine,1,ContractExpert,1,sources/workbuddy-experts/plugins/contract-expert/skills/contract-review-engine,catalog/workbuddy_expert_catalog/skills/by-skill/contract-review-engine
contract-scenario-router,./skills/contract-scenario-router,1,ContractExpert,1,sources/workbuddy-experts/plugins/contract-expert/skills/contract-scenario-router,catalog/workbuddy_expert_catalog/skills/by-skill/contract-scenario-router
contract-standards-ingest,./skills/contract-standards-ingest,1,ContractExpert,1,sources/workbuddy-experts/plugins/contract-expert/skills/contract-standards-ingest,catalog/workbuddy_expert_catalog/skills/by-skill/contract-standards-ingest
cordys-crm,./skills/cordys-crm,1,CordysCrm,1,sources/workbuddy-experts/plugins/cordys-crm/skills/cordys-crm,catalog/workbuddy_expert_catalog/skills/by-skill/cordys-crm
cos-storage,./skills/cos-storage,1,UaeMarketingAdvisor,1,sources/workbuddy-experts/plugins/uae-marketing-advisor/skills/cos-storage,catalog/workbuddy_expert_catalog/skills/by-skill/cos-storage
cpq,./skills/cpq,1,Cpq,1,sources/workbuddy-experts/plugins/cpq/skills/cpq,catalog/workbuddy_expert_catalog/skills/by-skill/cpq
cro-optimization,./skills/cro-optimization,1,SeoContentTeam,1,sources/workbuddy-experts/plugins/seo-content-team/skills/cro-optimization,catalog/workbuddy_expert_catalog/skills/by-skill/cro-optimization
daily-routine-builder,./skills/daily-routine-builder,1,Txzhaopin,1,sources/workbuddy-experts/plugins/txzhaopin/skills/daily-routine-builder,catalog/workbuddy_expert_catalog/skills/by-skill/daily-routine-builder
data-quality-assessment,./skills/data-quality-assessment,1,DataAnalyticsReporter,1,sources/workbuddy-experts/plugins/data-analytics-reporter/skills/data-quality-assessment,catalog/workbuddy_expert_catalog/skills/by-skill/data-quality-assessment
data-table-permission-checker,./skills/data-table-permission-checker,1,Txzhaopin,2,sources/workbuddy-experts/plugins/hr-digital-expert/skills/data-table-permission-checker;sources/workbuddy-experts/plugins/txzhaopin/skills/data-table-permission-checker,catalog/workbuddy_expert_catalog/skills/by-skill/data-table-permission-checker
data-visualization,./skills/data-visualization,1,DataAnalyticsReporter,2,sources/workbuddy-experts/plugins/data-analytics-reporter/skills/data-visualization;sources/workbuddy-experts/plugins/data/skills/data-visualization,catalog/workbuddy_expert_catalog/skills/by-skill/data-visualization
data-warehouse-api-codegen,./skills/data-warehouse-api-codegen,1,Txzhaopin,2,sources/workbuddy-experts/plugins/hr-digital-expert/skills/data-warehouse-api-codegen;sources/workbuddy-experts/plugins/txzhaopin/skills/data-warehouse-api-codegen,catalog/workbuddy_expert_catalog/skills/by-skill/data-warehouse-api-codegen
databrain-competitor-events,./skills/databrain-competitor-events,1,DatabrainOpinionExpert,2,sources/workbuddy-experts/plugins/databrain-opinion-expert/skills/databrain-competitor-events;sources/workbuddy-experts/plugins/tiderider-sentiment/skills/databrain-competitor-events,catalog/workbuddy_expert_catalog/skills/by-skill/databrain-competitor-events
databrain-game-content-trend,./skills/databrain-game-content-trend,1,DatabrainOpinionExpert,2,sources/workbuddy-experts/plugins/databrain-opinion-expert/skills/databrain-game-content-trend;sources/workbuddy-experts/plugins/tiderider-sentiment/skills/databrain-game-content-trend,catalog/workbuddy_expert_catalog/skills/by-skill/databrain-game-content-trend
databrain-opinion-alert,./skills/databrain-opinion-alert,1,DatabrainOpinionExpert,2,sources/workbuddy-experts/plugins/databrain-opinion-expert/skills/databrain-opinion-alert;sources/workbuddy-experts/plugins/tiderider-sentiment/skills/databrain-opinion-alert,catalog/workbuddy_expert_catalog/skills/by-skill/databrain-opinion-alert
databrain-opinion-hotposts,./skills/databrain-opinion-hotposts,1,DatabrainOpinionExpert,2,sources/workbuddy-experts/plugins/databrain-opinion-expert/skills/databrain-opinion-hotposts;sources/workbuddy-experts/plugins/tiderider-sentiment/skills/databrain-opinion-hotposts,catalog/workbuddy_expert_catalog/skills/by-skill/databrain-opinion-hotposts
databrain-opinion-metrics,./skills/databrain-opinion-metrics,1,DatabrainOpinionExpert,2,sources/workbuddy-experts/plugins/databrain-opinion-expert/skills/databrain-opinion-metrics;sources/workbuddy-experts/plugins/tiderider-sentiment/skills/databrain-opinion-metrics,catalog/workbuddy_expert_catalog/skills/by-skill/databrain-opinion-metrics
databrain-opinion-summary,./skills/databrain-opinion-summary,1,DatabrainOpinionExpert,2,sources/workbuddy-experts/plugins/databrain-opinion-expert/skills/databrain-opinion-summary;sources/workbuddy-experts/plugins/tiderider-sentiment/skills/databrain-opinion-summary,catalog/workbuddy_expert_catalog/skills/by-skill/databrain-opinion-summary
dcf-model,./skills/dcf-model,1,PitchAgent,4,sources/workbuddy-experts/plugins/financial-analysis/skills/dcf-model;sources/workbuddy-experts/plugins/investment-banking/skills/dcf-model;sources/workbuddy-experts/plugins/model-builder/skills/dcf-model;sources/workbuddy-experts/plugins/pitch-agent/skills/dcf-model,catalog/workbuddy_expert_catalog/skills/by-skill/dcf-model
deal-strategy,./skills/deal-strategy,1,SalesCoach,1,sources/workbuddy-experts/plugins/sales-coach/skills/deal-strategy,catalog/workbuddy_expert_catalog/skills/by-skill/deal-strategy
deck-refresh,./skills/deck-refresh,1,PitchAgent,1,sources/workbuddy-experts/plugins/pitch-agent/skills/deck-refresh,catalog/workbuddy_expert_catalog/skills/by-skill/deck-refresh
deep-research,./skills/deep-research,3,ComplianceAuditor;GovernmentDigitalPresalesConsultant;TechnicalDocumentationEngineer,6,sources/workbuddy-experts/plugins/ai-engineer/skills/deep-research;sources/workbuddy-experts/plugins/compliance-auditor/skills/deep-research;sources/workbuddy-experts/plugins/government-digital-presales-consultant/skills/deep-research;sources/workbuddy-experts/plugins/technical-documentation-engineer/skills/deep-research;sources/workbuddy-experts/plugins/tool-evaluation-expert/skills/deep-research;sources/workbuddy-experts/plugins/unity-editor-tool-developer/skills/deep-research,catalog/workbuddy_expert_catalog/skills/by-skill/deep-research
design,./skills/design,1,VibeknowDesignVideo,1,sources/workbuddy-experts/plugins/vibeknow-design-video/skills/design,catalog/workbuddy_expert_catalog/skills/by-skill/design
design-html,./skills/design-html,1,SoftwareWorkshop,1,sources/workbuddy-experts/plugins/gstack/skills/design-html,catalog/workbuddy_expert_catalog/skills/by-skill/design-html
design-reference,./skills/design-reference,1,DesignMdArchitect,1,sources/workbuddy-experts/plugins/design-md-architect/skills/design-reference,catalog/workbuddy_expert_catalog/skills/by-skill/design-reference
design-system-extract,./skills/design-system-extract,1,DesignPrototypeExpert,1,sources/workbuddy-experts/plugins/design-prototype-expert/skills/design-system-extract,catalog/workbuddy_expert_catalog/skills/by-skill/design-system-extract
design-systems,./skills/design-systems,1,DesignEngineTeam,1,sources/workbuddy-experts/plugins/design-engine/skills/design-systems,catalog/workbuddy_expert_catalog/skills/by-skill/design-systems
discovery-questions,./skills/discovery-questions,1,DesignPrototypeExpert,1,sources/workbuddy-experts/plugins/design-prototype-expert/skills/discovery-questions,catalog/workbuddy_expert_catalog/skills/by-skill/discovery-questions
docx-manipulation,./skills/docx-manipulation,1,Cpq,1,sources/workbuddy-experts/plugins/cpq/skills/docx-manipulation,catalog/workbuddy_expert_catalog/skills/by-skill/docx-manipulation
egypt-marketing-skill,./skills/egypt-marketing-skill,1,EgyptMarketing,1,sources/workbuddy-experts/plugins/egypt-marketing/skills/egypt-marketing-skill,catalog/workbuddy_expert_catalog/skills/by-skill/egypt-marketing-skill
egypt-public-affairs-skill,./skills/egypt-public-affairs-skill,1,EgyptPublicAffairs,1,sources/workbuddy-experts/plugins/egypt-public-affairs/skills/egypt-public-affairs-skill,catalog/workbuddy_expert_catalog/skills/by-skill/egypt-public-affairs-skill
egypt-strategic-advisory-skill,./skills/egypt-strategic-advisory-skill,1,EgyptStrategicAdvisory,1,sources/workbuddy-experts/plugins/egypt-strategic-advisory/skills/egypt-strategic-advisory-skill,catalog/workbuddy_expert_catalog/skills/by-skill/egypt-strategic-advisory-skill
employer-brand-amy,./skills/employer-brand-amy,1,Txzhaopin,1,sources/workbuddy-experts/plugins/txzhaopin/skills/employer-brand-amy,catalog/workbuddy_expert_catalog/skills/by-skill/employer-brand-amy
employer-brand-lulu,./skills/employer-brand-lulu,1,Txzhaopin,1,sources/workbuddy-experts/plugins/txzhaopin/skills/employer-brand-lulu,catalog/workbuddy_expert_catalog/skills/by-skill/employer-brand-lulu
employer-brand-rita,./skills/employer-brand-rita,1,Txzhaopin,1,sources/workbuddy-experts/plugins/txzhaopin/skills/employer-brand-rita,catalog/workbuddy_expert_catalog/skills/by-skill/employer-brand-rita
employer-brand-xiaoe,./skills/employer-brand-xiaoe,1,Txzhaopin,1,sources/workbuddy-experts/plugins/txzhaopin/skills/employer-brand-xiaoe,catalog/workbuddy_expert_catalog/skills/by-skill/employer-brand-xiaoe
employer-brand-xiaowanneng,./skills/employer-brand-xiaowanneng,1,Txzhaopin,1,sources/workbuddy-experts/plugins/txzhaopin/skills/employer-brand-xiaowanneng,catalog/workbuddy_expert_catalog/skills/by-skill/employer-brand-xiaowanneng
enterprise-legal-workflows,./skills/enterprise-legal-workflows,1,EnterpriseLegalTeam,1,sources/workbuddy-experts/plugins/enterprise-legal-team/skills/enterprise-legal-workflows,catalog/workbuddy_expert_catalog/skills/by-skill/enterprise-legal-workflows
entity-evidence-audit,./skills/entity-evidence-audit,1,IndustrialParkInvestmentAttractionExpert,1,sources/workbuddy-experts/plugins/industrial-park-investment-attraction-expert/skills/entity-evidence-audit,catalog/workbuddy_expert_catalog/skills/by-skill/entity-evidence-audit
executing-marketing-campaigns,./skills/executing-marketing-campaigns,1,MarketingCampaignExpert,1,sources/workbuddy-experts/plugins/executing-marketing-campaigns/skills/executing-marketing-campaigns,catalog/workbuddy_expert_catalog/skills/by-skill/executing-marketing-campaigns
expert-creator,./skills/expert-creator,1,SkillhubCharityExpertTeam,1,sources/workbuddy-experts/plugins/skillhub-charity-expert-team/skills/expert-creator,catalog/workbuddy_expert_catalog/skills/by-skill/expert-creator
expert-reviewer,./skills/expert-reviewer,1,SkillhubCharityExpertTeam,1,sources/workbuddy-experts/plugins/skillhub-charity-expert-team/skills/expert-reviewer,catalog/workbuddy_expert_catalog/skills/by-skill/expert-reviewer
family-education-expert,./skills/family-education-expert,1,FamilyEducationMa,1,sources/workbuddy-experts/plugins/family-education-ma/skills/family-education-expert,catalog/workbuddy_expert_catalog/skills/by-skill/family-education-expert
fbs-bookwriter,./skills/fbs-bookwriter,3,BookCoCreator;FeedbackSynthesisAnalyst;SeoExpert,4,sources/workbuddy-experts/plugins/behavioral-nudge-engine/skills/fbs-bookwriter;sources/workbuddy-experts/plugins/book-co-creator/skills/fbs-bookwriter;sources/workbuddy-experts/plugins/feedback-synthesis-analyst/skills/fbs-bookwriter;sources/workbuddy-experts/plugins/seo-expert/skills/fbs-bookwriter,catalog/workbuddy_expert_catalog/skills/by-skill/fbs-bookwriter
feedback,./skills/feedback,1,Cpq,1,sources/workbuddy-experts/plugins/cpq/skills/feedback,catalog/workbuddy_expert_catalog/skills/by-skill/feedback
fit-portfolio,./skills/fit-portfolio,1,IndustrialParkInvestmentAttractionExpert,1,sources/workbuddy-experts/plugins/industrial-park-investment-attraction-expert/skills/fit-portfolio,catalog/workbuddy_expert_catalog/skills/by-skill/fit-portfolio
frontend-aesthetic-direction,./skills/frontend-aesthetic-direction,1,DesignPrototypeExpert,1,sources/workbuddy-experts/plugins/design-prototype-expert/skills/frontend-aesthetic-direction,catalog/workbuddy_expert_catalog/skills/by-skill/frontend-aesthetic-direction
frontend-dev,./skills/frontend-dev,3,BackendArchitect;DesignMdArchitect;UiDesigner,5,sources/workbuddy-experts/plugins/backend-architect/skills/frontend-dev;sources/workbuddy-experts/plugins/design-md-architect/skills/frontend-dev;sources/workbuddy-experts/plugins/frontend-developer/skills/frontend-dev;sources/workbuddy-experts/plugins/senior-developer/skills/frontend-dev;sources/workbuddy-experts/plugins/ui-designer/skills/frontend-dev,catalog/workbuddy_expert_catalog/skills/by-skill/frontend-dev
fullstack-dev,./skills/fullstack-dev,1,BackendArchitect,6,sources/workbuddy-experts/plugins/ai-engineer/skills/fullstack-dev;sources/workbuddy-experts/plugins/backend-architect/skills/fullstack-dev;sources/workbuddy-experts/plugins/frontend-developer/skills/fullstack-dev;sources/workbuddy-experts/plugins/senior-developer/skills/fullstack-dev;sources/workbuddy-experts/plugins/software-architect/skills/fullstack-dev;sources/workbuddy-experts/plugins/we-chat-mini-program-developer/skills/fullstack-dev,catalog/workbuddy_expert_catalog/skills/by-skill/fullstack-dev
generate-variations,./skills/generate-variations,1,DesignPrototypeExpert,1,sources/workbuddy-experts/plugins/design-prototype-expert/skills/generate-variations,catalog/workbuddy_expert_catalog/skills/by-skill/generate-variations
geo-diag-report,./skills/geo-diag-report,1,GeoDiagnosisExpert,1,sources/workbuddy-experts/plugins/geo-diagnosis-expert/skills/geo-diag-report,catalog/workbuddy_expert_catalog/skills/by-skill/geo-diag-report
guided-ppt-creation-workflow,./skills/guided-ppt-creation-workflow,1,LexiangPptExpert,2,sources/workbuddy-experts/plugins/ppt-creation-expert/skills/guided-ppt-creation-workflow,catalog/workbuddy_expert_catalog/skills/by-skill/guided-ppt-creation-workflow
hcp-insight,./skills/hcp-insight,1,NgesHealthcareMarketingTeam,1,sources/workbuddy-experts/plugins/nges-healthcare-marketing-team/skills/hcp-insight,catalog/workbuddy_expert_catalog/skills/by-skill/hcp-insight
headhunter-recommend,./skills/headhunter-recommend,1,Txzhaopin,1,sources/workbuddy-experts/plugins/txzhaopin/skills/headhunter-recommend,catalog/workbuddy_expert_catalog/skills/by-skill/headhunter-recommend
hiring,./skills/hiring,1,SmbOperations,1,sources/workbuddy-experts/plugins/smb-operations/skills/hiring,catalog/workbuddy_expert_catalog/skills/by-skill/hiring
hr-data-router,./skills/hr-data-router,1,Txzhaopin,1,sources/workbuddy-experts/plugins/txzhaopin/skills/hr-data-router,catalog/workbuddy_expert_catalog/skills/by-skill/hr-data-router
hr-data-sql-builder,./skills/hr-data-sql-builder,1,Txzhaopin,2,sources/workbuddy-experts/plugins/hr-digital-expert/skills/hr-data-sql-builder;sources/workbuddy-experts/plugins/txzhaopin/skills/hr-data-sql-builder,catalog/workbuddy_expert_catalog/skills/by-skill/hr-data-sql-builder
hr-vue-next,./skills/hr-vue-next,1,Txzhaopin,2,sources/workbuddy-experts/plugins/hr-digital-expert/skills/hr-vue-next;sources/workbuddy-experts/plugins/txzhaopin/skills/hr-vue-next,catalog/workbuddy_expert_catalog/skills/by-skill/hr-vue-next
hrclaw-messenger,./skills/hrclaw-messenger,1,Txzhaopin,1,sources/workbuddy-experts/plugins/txzhaopin/skills/hrclaw-messenger,catalog/workbuddy_expert_catalog/skills/by-skill/hrclaw-messenger
humanizer,./skills/humanizer,7,AdCreativeStrategist;BrandGuardian;ContentCreator;ContentDistributionTeam;DouyinStrategist;WechatOfficialAccountExpert;XiaohongshuOperationsExpert,7,sources/workbuddy-experts/plugins/ad-creative-strategist/skills/humanizer;sources/workbuddy-experts/plugins/brand-guardian/skills/humanizer;sources/workbuddy-experts/plugins/content-creator/skills/humanizer;sources/workbuddy-experts/plugins/content-distribution-team/skills/humanizer;sources/workbuddy-experts/plugins/douyin-strategist/skills/humanizer;sources/workbuddy-experts/plugins/wechat-official-account-expert/skills/humanizer;sources/workbuddy-experts/plugins/xiaohongshu-operations-expert/skills/humanizer,catalog/workbuddy_expert_catalog/skills/by-skill/humanizer
